
Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..Preliminary/IC.py:123 DoExperiment  1      0.003348  18.74869  18.74869
../Preliminary/IC.py:72 AnalyzeGraph  1      0.021796  11.78590  11.78590
..nness.py:22 betweenness_centrality  1      0.080515  9.309888  9.309888
.._single_source_shortest_path_basic  1000   5.218361  7.617182  0.007617
..ype/Preliminary/IC.py:35 ICCascade  1000   0.070210  5.510513  0.005511
..totype/Preliminary/IC.py:50 ICStep  9913   3.590982  5.434552  0.000548
..oseness.py:18 closeness_centrality  1      0.012481  2.404004  2.404004
..single_source_shortest_path_length  1000   1.358198  2.376621  0.002377
..tweenness.py:287 _accumulate_basic  1000   1.242689  1.612071  0.001612
..ses/graph.py:379 Graph.__getitem__  201..  0.799066  0.799066  0.000000
..graph.py:1063 Graph.neighbors_iter  644..  0.562205  0.791542  0.000001
..ython3.5/json/__init__.py:119 dump  2      0.066363  0.445057  0.222529
...5/json/encoder.py:411 _iterencode  80332  0.053843  0.344849  0.000004
..eliminary/IC.py:25 InitializeGraph  1      0.011888  0.314355  0.314355
..ages/matplotlib/pyplot.py:236 show  1      0.000012  0.313411  0.313411
..backend_bases.py:149 Show.__call__  1      0.000050  0.313399  0.313399
..ges/matplotlib/pyplot.py:3061 hist  1      0.000021  0.297590  0.297590
..infrastructure.py:825 beta_gen.rvs  4975   0.050402  0.296106  0.000060
..on/encoder.py:332 _iterencode_dict  309..  0.239135  0.290993  0.000001
..nit__.py:1548 CallWrapper.__call__  84/72  0.001040  0.285827  0.003403
..agg.py:593 FigureManagerTkAgg.show  1      0.000157  0.187081  0.187081
..tkinter/__init__.py:1026 Tk.update  1      0.000012  0.186830  0.186830
..gg.py:263 FigureCanvasTkAgg.resize  1      0.000087  0.183514  0.183514
..kagg.py:350 FigureCanvasTkAgg.draw  1      0.000037  0.175621  0.175621
../matplotlib/__init__.py:1819 inner  2/1    0.000047  0.173410  0.086705
..xes/_axes.py:5873 AxesSubplot.hist  1      0.000292  0.173383  0.173383
.._agg.py:453 FigureCanvasTkAgg.draw  1      0.000039  0.171608  0.171608
..tplotlib/artist.py:61 draw_wrapper  156/1  0.001152  0.170652  0.001094
..plotlib/figure.py:1091 Figure.draw  1      0.000050  0.170628  0.170628
..:120 _draw_list_compositing_images  2/1    0.000201  0.169314  0.084657
..xes/_base.py:2346 AxesSubplot.draw  1      0.000072  0.169265  0.169265
..axes/_axes.py:1858 AxesSubplot.bar  1      0.001152  0.167869  0.167869
..base.py:1855 AxesSubplot.add_patch  99     0.000574  0.141808  0.001432
..:720 Rectangle.get_patch_transform  486    0.000683  0.133391  0.000274
.. Rectangle._update_patch_transform  486    0.008719  0.132709  0.000273
../backend_tkagg.py:70 Show.mainloop  1      0.000006  0.126243  0.126243
..5/tkinter/__init__.py:406 mainloop  1      0.000007  0.126237  0.126237
..hes.py:216 Rectangle.get_transform  393    0.001603  0.125068  0.000318
