
Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..Preliminary/IC.py:122 DoExperiment  1      0.001965  7.589707  7.589707
..ype/Preliminary/IC.py:29 ICCascade  1000   0.009094  7.383752  0.007384
..totype/Preliminary/IC.py:45 ICStep  4593   0.421716  7.372504  0.001605
..tructure.py:2786 bernoulli_gen.rvs  124..  0.316767  6.843608  0.000055
..rastructure.py:825 uniform_gen.rvs  124..  1.499513  6.535822  0.000053
..numpy/core/fromnumeric.py:1953 all  248..  0.564250  2.692308  0.000011
..ges/numpy/core/_methods.py:40 _all  248..  0.241441  1.067746  0.000004
..e_distns.py:108 bernoulli_gen._rvs  124..  0.144895  0.963001  0.000008
..y/core/fromnumeric.py:1817 product  124..  0.240862  0.867880  0.000007
..te_distns.py:39 bernoulli_gen._rvs  124..  0.158715  0.818106  0.000007
..mpy/core/numeric.py:534 asanyarray  248..  0.321721  0.749133  0.000003
..umpy/core/numeric.py:2160 isscalar  124..  0.169369  0.239810  0.000002
../Preliminary/IC.py:73 AnalyzeGraph  1      0.001143  0.155617  0.155617
..tns.py:111 bernoulli_gen._argcheck  124..  0.125107  0.125107  0.000001
..graph.py:1063 Graph.neighbors_iter  68842  0.068211  0.096671  0.000001
..nness.py:22 betweenness_centrality  1      0.000702  0.076241  0.076241
.._single_source_shortest_path_basic  100    0.039307  0.060011  0.000600
..g>:5 bernoulli_gen._parse_args_rvs  124..  0.059097  0.059097  0.000000
..ector.py:18 eigenvector_centrality  1      0.029005  0.047757  0.047757
..ython3.5/json/__init__.py:119 dump  2      0.004543  0.029674  0.014837
..oseness.py:18 closeness_centrality  1      0.000576  0.025457  0.025457
..single_source_shortest_path_length  100    0.014670  0.024186  0.000242
...5/json/encoder.py:411 _iterencode  5336   0.003586  0.022753  0.000004
..on/encoder.py:332 _iterencode_dict  207..  0.015785  0.019163  0.000001
..ses/graph.py:379 Graph.__getitem__  38696  0.015884  0.015884  0.000000
..tweenness.py:287 _accumulate_basic  100    0.011388  0.015502  0.000155
..sses/graph.py:610 Graph.nodes_iter  5597   0.008317  0.012674  0.000002
..eliminary/IC.py:18 InitializeGraph  1      0.000428  0.009728  0.009728
..3.5/random.py:170 Random.randrange  1000   0.001636  0.004723  0.000005
...5/random.py:220 Random._randbelow  1204   0.002439  0.003653  0.000003
..raphs.py:602 barabasi_albert_graph  1      0.000389  0.003131  0.003131
..lity/eigenvector.py:128 <listcomp>  37     0.001786  0.002879  0.000078
..ype/Preliminary/IC.py:69 CalcStats  12     0.000116  0.001848  0.000154
..ality/eigenvector.py:121 <genexpr>  3737   0.001619  0.001619  0.000000
..andom_graphs.py:590 _random_subset  98     0.000425  0.001517  0.000015
..classes/graph.py:1315 Graph.degree  100    0.000343  0.001156  0.000012
../graph.py:803 Graph.add_edges_from  98     0.000813  0.001102  0.000011
..e/Preliminary/IC.py:113 <listcomp>  1      0.000008  0.000953  0.000953
..hon3.5/random.py:250 Random.choice  204    0.000300  0.000930  0.000005
..e/Preliminary/IC.py:114 <listcomp>  1      0.000007  0.000910  0.000910
..es/graph.py:1354 Graph.degree_iter  301    0.000390  0.000769  0.000003
..ses/graph.py:1139 Graph.edges_iter  591    0.000666  0.000759  0.000001
..us_distns.py:4311 uniform_gen._rvs  196    0.000241  0.000750  0.000004
..on3.5/json/encoder.py:222 floatstr  403    0.000718  0.000718  0.000002
..numpy/core/fromnumeric.py:2892 std  12     0.000057  0.000713  0.000059
